"date","Avg Air Temp (˚F)","Max Air Temp (˚F)","Min Air Temp (˚F)","Total Precipitation","Leaf Wetness (hrs)","Relative Humidity (hrs >= 90)","Solar Radiation (langleys)","Avg Wind Speed (mph)","Avg Soil Temp (˚F)","Avg Soil Moisture (m3/m3)"
"03/01/2022","33.6","45.5","21.7","0.09","5","0","174","4.4","N/A","N/A"
"03/02/2022","35.5","41.4","29.5","0","10","6","330","3.8","N/A","N/A"
"03/03/2022","22.4","30.4","14.4","0","9","4","340","6.9","N/A","N/A"
"03/04/2022","19.9","33.4","6.4","0.02","8","0","424","2.3","N/A","N/A"
"03/05/2022","29.4","45.5","13.3","0","3","0","250","3.6","N/A","N/A"
"03/06/2022","57.0","72.3","41.7","0","3","0","338","6.8","N/A","N/A"
"03/07/2022","46.6","58.5","34.7","0.91","21","9","67","4.5","N/A","N/A"
"03/08/2022","29.9","35.1","24.6","0","3","2","276","5.8","N/A","N/A"
"03/09/2022","30.5","35.1","25.9","0.25","16","13","77","1.4","N/A","N/A"
"03/10/2022","33.1","46.9","19.4","0.06","16","11","419","1.6","N/A","N/A"
"03/11/2022","38.8","51.4","26.2","0","11","4","310","3.3","N/A","N/A"
"03/12/2022","25.1","34.5","15.6","0.04","24","20","136","8.7","N/A","N/A"
"03/13/2022","22.3","28.9","15.6","0","11","3","313","6.8","N/A","N/A"
"03/14/2022","39.5","50.4","28.6","0.02","0","0","351","3.7","N/A","N/A"
"03/15/2022","41.0","49.9","32","0.01","7","3","213","2.5","N/A","N/A"
"03/16/2022","49.7","65","34.4","0","11","11","347","3.5","N/A","N/A"
"03/17/2022","54.8","66.7","42.8","0","1","0","296","5.4","40.2","0.4"
"03/18/2022","54.8","73.6","36.1","0","11","9","412","2.8","41.7","0.4"
"03/19/2022","59.9","67.5","52.2","0.24","16","5","303","4.2","45.3","0.4"
"03/20/2022","44.9","53.1","36.7","0.13","19","9","120","5.2","45.6","0.4"
"03/21/2022","40.0","53.1","26.8","0","10","4","395","4.9","42","0.4"
"03/22/2022","36.8","43.7","29.8","0","0","0","434","4.5","40.7","0.4"
"03/23/2022","37.6","46","29.3","0","5","0","140","3.6","39.5","0.4"
"03/24/2022","49.3","59.9","38.7","0.14","11","4","358","4.7","41.2","0.4"
"03/25/2022","42.8","48.6","36.9","0.37","18","13","159","3.5","43.2","0.4"
"03/26/2022","40.1","44.1","36.1","0.09","18","3","167","3.1","42.1","0.4"
"03/27/2022","26.7","34.2","19.2","0","6","5","238","8.2","40.2","0.4"
"03/28/2022","17.0","19.4","14.7","0","0","0","289","10","36.4","0.4"
"03/29/2022","25.1","31.3","18.9","0","0","1","410","7.5","34.8","0.4"
"03/30/2022","28.8","42.1","15.4","0","6","0","176","3.8","34.2","0.4"
"03/31/2022","54.3","66.9","41.7","0.26","8","1","210","6.4","35.4","0.4"
"04/01/2022","39.5","44.8","34.2","0.07","10","3","148","6.4","39.6","0.4"
"04/02/2022","37.8","45.1","30.4","0","0","0","432","5.3","38.2","0.4"
"04/03/2022","37.8","42.4","33.1","0.07","18","13","118","3.8","39.4","0.4"
"04/04/2022","40.1","46.2","34","0","9","8","308","4","39.5","0.4"
"04/05/2022","50.1","65.5","34.7","0","0","0","489","2.4","41.6","0.4"
"04/06/2022","54.7","64.2","45.1","0","3","0","307","4.2","45","0.4"
"04/07/2022","46.2","49.6","42.8","1.15","24","20","55","3.9","46.5","0.4"
"04/08/2022","49.5","57.7","41.2","0.02","13","10","421","2.9","45.8","0.4"
"04/09/2022","42.3","47.7","36.9","0.1","20","12","201","1.8","45.7","0.4"
"04/10/2022","36.3","39","33.6","0","4","3","133","5.8","43.7","0.4"
"04/11/2022","46.6","65.3","28","0","8","0","453","3.6","42.4","0.4"
"04/12/2022","52.8","62.2","43.3","0.35","10","5","525","4.6","46.6","0.4"
"04/13/2022","57.2","76.5","37.9","0","4","0","301","3","48.3","0.4"
"04/14/2022","55.6","74.5","36.7","0.16","4","0","228","4.3","51.1","0.4"
"04/15/2022","50.8","66.6","34.9","0","0","0","458","4.2","48.6","0.4"
"04/16/2022","43.8","52.3","35.2","0.37","14","12","83","2.6","48","0.4"
"04/17/2022","36.4","43.7","29.1","0","2","0","573","6.3","45.3","0.4"
"04/18/2022","36.8","50.4","23.2","0.31","12","4","357","4.3","44.1","0.4"
"04/19/2022","36.3","40.3","32.2","0.47","15","13","167","5.2","42.9","0.4"
"04/20/2022","43.9","52","35.8","0","2","0","600","6.1","42.3","0.4"
"04/21/2022","48.0","55.2","40.8","0","5","0","139","5.9","44.5","0.4"
"04/22/2022","49.0","55.6","42.4","0","4","1","624","5","45.6","0.4"
"04/23/2022","49.2","64.6","33.8","0","1","0","339","2.8","47.1","0.4"
"04/24/2022","65.7","83.1","48.2","0","0","0","518","3.5","49.9","0.4"
"04/25/2022","64.3","75.4","53.2","0","0","0","589","5.9","54","0.4"
"04/26/2022","51.8","58.5","45.1","0","16","11","79","3.1","54.8","0.4"
"04/27/2022","38.4","43.9","32.9","0.06","5","2","148","6.8","50","0.4"
"04/28/2022","39.5","46.2","32.9","0","0","0","673","8.5","46.2","0.4"
"04/29/2022","41.2","50.7","31.6","0","0","0","671","5.3","46.2","0.4"
"04/30/2022","41.1","57","25.3","0","3","0","655","3.9","46.4","0.4"
"05/01/2022","49.7","70.9","28.4","0.01","7","0","488","3.5","47.6","0.4"
"05/02/2022","58.0","63.7","52.3","0.07","11","2","192","3.2","50.6","0.4"
"05/03/2022","57.2","67.8","46.6","0.01","9","5","346","2.4","52.2","0.4"
"05/04/2022","55.2","61.3","49.1","0.17","18","12","119","4.6","53.6","0.4"
"05/05/2022","52.0","60.8","43.3","0","10","11","576","3.2","53.1","0.4"
"05/06/2022","52.5","59.4","45.7","0","2","0","174","1.7","53.3","0.4"
"05/07/2022","50.3","60.1","40.5","0","5","3","420","4.7","52.7","0.4"
"05/08/2022","48.8","67.3","30.4","0","7","0","706","4.2","51.3","0.3"
"05/09/2022","54.4","75.6","33.3","0","3","0","714","3.7","51.9","0.3"
"05/10/2022","58.9","79.3","38.5","0","0","0","727","2.6","54","0.3"
"05/11/2022","60.7","79.7","41.7","0","0","0","718","3.3","55.9","0.3"
"05/12/2022","65.8","86.7","44.8","0","1","0","679","2.6","57.6","0.3"
"05/13/2022","71.9","83.7","60.1","0","6","0","505","2.6","60.8","0.3"
"05/14/2022","72.4","82","62.8","0","7","3","478","2.7","62.6","0.3"
"05/15/2022","72.1","81.9","62.2","0.59","14","7","450","1.9","64","0.3"
"05/16/2022","63.3","74.5","52","0.54","18","13","284","3.1","64","0.3"
"05/17/2022","54.8","60.8","48.7","0","7","4","380","4.2","61.6","0.4"
"05/18/2022","52.8","61.2","44.4","0.11","7","0","505","2.1","59.6","0.3"
"05/19/2022","58.2","66.6","49.8","0.23","14","14","308","2.7","59.7","0.3"
"05/20/2022","65.7","81.1","50.2","0","7","5","405","3.7","60.4","0.3"
"05/21/2022","79.4","92.3","66.6","0","3","0","618","3.3","64.6","0.3"
"05/22/2022","67.9","82.6","53.2","0.34","14","9","331","3.3","66.8","0.3"
"05/23/2022","54.2","60.6","47.7","0","9","7","402","2.9","64.1","0.3"
"05/24/2022","55.5","70.5","40.6","0","10","7","598","2.3","62.2","0.3"
"05/25/2022","64.2","76.6","51.8","0","8","6","610","2.6","64","0.3"
